tree,plot,time,ht,mortyr
p1t1,1,60,4.727905047551059,93
p1t1,1,61,5.0789768771800885,93
p1t1,1,62,1.3125613810636994,93
p1t1,1,63,7.248482081948579,93
p1t1,1,64,7.5606198318972755,93
p1t1,1,65,9.99557857207527,93
p1t1,1,66,8.503875328286732,93
p1t1,1,67,9.004374961147775,93
p1t1,1,68,12.760967688501996,93
p1t1,1,69,10.655067268421906,93
p1t1,1,70,13.276972112503431,93
p1t1,1,71,16.734146190255473,93
p1t1,1,72,15.179157404061858,93
p1t1,1,73,19.42080061635227,93
p1t1,1,74,21.67288354725765,93
p1t1,1,75,19.519510082208445,93
p1t1,1,76,21.337787497634118,93
p1t1,1,77,18.85373280875184,93
p1t1,1,78,19.833335038028498,93
p1t1,1,79,21.214896406149613,93
p1t1,1,80,23.808726200086756,93
p1t1,1,81,24.90179202380936,93
p1t1,1,82,30.496253265180208,93
p1t1,1,83,30.549007750319852,93
p1t1,1,84,31.827981954098014,93
p1t1,1,85,27.34845102153684,93
p1t1,1,86,28.832744804656283,93
p1t1,1,87,28.702712983549272,93
p1t1,1,88,29.571364154812862,93
p1t1,1,89,33.03671302969291,93
p1t1,1,90,32.508571199217094,93
p1t1,1,91,32.16038872558527,93
p1t1,1,92,37.01190622969906,93
p1t1,1,93,37.23736970370121,93
p1t10,1,1,66.51582309620005,6
p1t10,1,2,72.11021598763466,6
p1t10,1,3,76.4614338373572,6
p1t10,1,4,73.98491465029191,6
p1t10,1,5,77.21117750036919,6
p1t10,1,6,80.36802282922172,6
p1t11,1,95,6.613261725685376,242
p1t11,1,96,9.215585563044657,242
p1t11,1,97,6.556867449146345,242
p1t11,1,98,6.023593753788411,242
p1t11,1,99,6.762432774150063,242
p1t11,1,100,9.000471493619065,242
p1t11,1,101,11.28948474209412,242
p1t12,1,48,6.528949360876011,80
p1t12,1,49,7.741120787367978,80
p1t12,1,50,0.9640265245549049,80
p1t12,1,51,4.9484233113268035,80
p1t12,1,52,6.368771567024618,80
p1t12,1,53,9.120424740707774,80
p1t12,1,54,6.485583406067931,80
p1t12,1,55,9.36577916845966,80
p1t12,1,56,12.794848584167791,80
p1t12,1,57,9.807868153903081,80
p1t12,1,58,17.3470466410714,80
p1t12,1,59,15.151652137899745,80
p1t12,1,60,16.72820488555105,80
p1t12,1,61,19.655884661465144,80
p1t12,1,62,19.12785199111819,80
p1t12,1,63,15.513793494426134,80
p1t12,1,64,22.266873138408414,80
p1t12,1,65,24.614365261320657,80
p1t12,1,66,28.253890084175872,80
p1t12,1,67,26.22918590353321,80
p1t12,1,68,28.81424569637324,80
p1t12,1,69,36.27291774374111,80
p1t12,1,70,33.085754451448366,80
p1t12,1,71,32.09801828596824,80
p1t12,1,72,40.037642194672806,80
p1t12,1,73,50.94365728040656,80
p1t12,1,74,54.270345594764784,80
p1t12,1,75,56.034062878118114,80
p1t12,1,76,61.47871968240491,80
p1t12,1,77,65.86238693433508,80
p1t12,1,78,66.09584068371217,80
p1t12,1,79,68.71845765275675,80
p1t12,1,80,77.00299277607047,80
p1t13,1,25,5.20660575537253,120
p1t13,1,26,7.047489152245947,120
p1t13,1,27,8.128999756828094,120
p1t13,1,28,6.700928072674095,120
p1t13,1,29,10.359100857115138,120
p1t13,1,30,11.371011208330668,120
p1t13,1,31,14.259775392853882,120
p1t13,1,32,14.57994386855907,120
p1t13,1,33,16.978851759673567,120
p1t13,1,34,14.677619175533042,120
p1t13,1,35,19.798922858881344,120
p1t13,1,36,20.66414930749025,120
p1t13,1,37,24.199236249654156,120
p1t13,1,38,18.84530984438169,120
p1t13,1,39,20.724640655442375,120
p1t13,1,40,33.31020008902082,120
p1t13,1,41,31.265723094326507,120
p1t13,1,42,30.91315601782368,120
p1t13,1,43,34.93790348588759,120
p1t13,1,44,36.23225181541815,120
p1t13,1,45,43.101415688706766,120
p1t13,1,46,40.05500255758092,120
p1t13,1,47,44.24912245593402,120
p1t13,1,48,45.26192711342409,120
p1t13,1,49,51.316872475227214,120
p1t13,1,50,51.529561173200165,120
p1t13,1,51,52.7648382232477,120
p1t13,1,52,52.67559939871843,120
p1t13,1,53,63.634844493261895,120
p1t13,1,54,64.0863394811172,120
p1t13,1,55,66.37173642169562,120
p1t13,1,56,73.01363391427014,120
p1t13,1,57,78.98372766959062,120
p1t13,1,58,83.67881074135856,120
p1t13,1,59,85.69902179835687,120
p1t13,1,60,90.03207612597673,120
p1t13,1,61,88.93217678921326,120
p1t13,1,62,94.20570946219767,120
p1t13,1,63,93.0140480743128,120
p1t13,1,64,94.15696694643222,120
p1t13,1,65,97.42883289394989,120
p1t13,1,66,97.44061676453113,120
p1t13,1,67,94.57194930654978,120
p1t13,1,68,95.73138329488066,120
p1t13,1,69,97.37105414392236,120
p1t13,1,70,106.61658466524587,120
p1t13,1,71,99.83870876015774,120
p1t13,1,72,102.45641887870688,120
p1t13,1,73,105.30001167122383,120
p1t13,1,74,108.75619738562912,120
p1t13,1,75,110.00920831376537,120
p1t13,1,76,108.40137593310092,120
p1t13,1,77,109.47491764010803,120
p1t13,1,78,113.92155928623221,120
p1t13,1,79,112.06345638588623,120
p1t13,1,80,113.28777048374822,120
p1t13,1,81,113.29114955134511,120
